track_uri,track_name,artist_uri,album_uri,playlist_uri,duration_ms,preview_url,popularity,added_at,added_by,,date,time,added_at
3ZE3wv8V3w2T2f7nOCjV0N,Life on Mars? - 2015 Remaster,0oSGxfWSnnOXhD2fKuz2Gy,6fQElzBNTiEMGdIeY0hy5l,5SeRMB2OnaHc37NcNA9mEs,235986,https://p.scdn.co/mp3-preview/8ec3a4b322c0df167ad409a668ceaa704fcbd1c0?cid=9950ac751e34487dbbe027c4fd7f8e99,74,2022-01-23 00:22:00,pikapi2323,,2022-01-23,00:22:00,2022-01-23
4gdSgHwfMeB6Ri5fS43SUW,From Mars,0GDGKpJFhVpcjIGF8N6Ewt,3jfojn8GJUDoxzBd1EPY2c,5SeRMB2OnaHc37NcNA9mEs,144786,,0,2022-01-23 00:23:00,pikapi2323,,2022-01-23,00:23:00,2022-01-23
2ErC9Ci2EP8anSbTSmIn9r,The wind and the leaves,0y9T7O1q6PyYt8fOSJfRm5,2PRvY4gZgfJLToefe9Jw1N,5SeRMB2OnaHc37NcNA9mEs,160266,https://p.scdn.co/mp3-preview/1158e9efa00c5b6629a021b5206fe1e299395731?cid=9950ac751e34487dbbe027c4fd7f8e99,21,2022-01-23 00:23:00,pikapi2323,,2022-01-23,00:23:00,2022-01-23
388kF2viiv8i9aEWIThyGT,Easier to Run,6XyY86QOPPrYVGvF9ch6wz,0y13VbGddQ4azdVWakksAL,5SeRMB2OnaHc37NcNA9mEs,204173,https://p.scdn.co/mp3-preview/228ced9e2ded7592745c41d939cf2679ff7b30d4?cid=9950ac751e34487dbbe027c4fd7f8e99,51,2022-01-23 00:24:00,pikapi2323,,2022-01-23,00:24:00,2022-01-23
0qV5H8ttAXxb1An0rmG2bw,March to the Sea,3KdXhEwbqFHfNfSk7L9E87,4mSoz87AFyUIcZlCmwbI8s,5SeRMB2OnaHc37NcNA9mEs,191426,https://p.scdn.co/mp3-preview/7a59c84cef7b4e34d87abe9cd06ee62e27bbdb78?cid=9950ac751e34487dbbe027c4fd7f8e99,49,2022-01-23 00:24:00,pikapi2323,,2022-01-23,00:24:00,2022-01-23
2glEXDEzubpETiDRXfC4oX,Sun Killer,4MzJMcHQBl9SIYSjwWn8QW,6cZ39G1mahxDAGfoPzDllb,5SeRMB2OnaHc37NcNA9mEs,227477,https://p.scdn.co/mp3-preview/a961b5e4dceaf30243878dcf5af9da6bba6860c5?cid=9950ac751e34487dbbe027c4fd7f8e99,61,2022-01-23 00:24:00,pikapi2323,,2022-01-23,00:24:00,2022-01-23
2J5BUcTI5IORCQgbkjtu4P,These Black Claws (feat. SHAHMEN),1HQjBwlj8FSHMhVaNQ4tEI,30RmzbD5a5hqRPgyzBq7La,5SeRMB2OnaHc37NcNA9mEs,352840,,40,2022-01-23 00:25:00,pikapi2323,,2022-01-23,00:25:00,2022-01-23
7kPvCfSOkLEs95dcd7G6EO,Isolate,3OsRAKCvk37zwYcnzRf5XF,1GzCmHwV9EIjXxK7E3spXl,5SeRMB2OnaHc37NcNA9mEs,208346,,0,2022-01-23 00:25:00,pikapi2323,,2022-01-23,00:25:00,2022-01-23
73RdXBA5oTmOr6furSPoti,Identity,4ZgQDCtRqZlhLswVS6MHN4,0n5LA95QYWAs9wwkkA8Sji,5SeRMB2OnaHc37NcNA9mEs,216000,https://p.scdn.co/mp3-preview/0c2fe72d4d73a30ba32d74f11f51a58304097f4d?cid=9950ac751e34487dbbe027c4fd7f8e99,52,2022-01-23 00:25:00,pikapi2323,,2022-01-23,00:25:00,2022-01-23
4ZS3PmdXt20YDDsgEh9zmM,OK,1YznSk5tLLp9BnzuNgghrZ,2pmyJxHxpZOYu5XwyJs0Fd,5SeRMB2OnaHc37NcNA9mEs,223182,https://p.scdn.co/mp3-preview/9a583fbe1c880e6d59d7d3f4fc5c7e12ec6dc27a?cid=9950ac751e34487dbbe027c4fd7f8e99,51,2022-01-23 00:26:00,pikapi2323,,2022-01-23,00:26:00,2022-01-23
0l88HIMaQ8jmesI5Bu3IcM,On Our Bed of Soil Pt. 1,5bPOuhK95xuq1UKdiqsysz,3iwuPKq1UZ7cI05BJg2QjN,5SeRMB2OnaHc37NcNA9mEs,193595,https://p.scdn.co/mp3-preview/4d996ff20c7d42fb55ceb923b719da76acbbee38?cid=9950ac751e34487dbbe027c4fd7f8e99,15,2022-01-23 00:26:00,pikapi2323,,2022-01-23,00:26:00,2022-01-23
7uaSDIL9QzabF2Je0FyDZ7,Lacrimosa,1fd3fmwlhrDl2U5wbbPQYN,1cNI5bMJk11DV8PglRAd3R,5SeRMB2OnaHc37NcNA9mEs,217333,https://p.scdn.co/mp3-preview/fa3e48892cb26123525fd45f7a316bffc10b5414?cid=9950ac751e34487dbbe027c4fd7f8e99,59,2022-01-23 00:26:00,pikapi2323,,2022-01-23,00:26:00,2022-01-23
55ZZEIsaSa5sXkdUxKTRl8,Sirens Over Paris,4A18NGfdKU0HrkmvVlPO7I,3jtuQep4BgAlyg7vVhuXS8,5SeRMB2OnaHc37NcNA9mEs,186039,https://p.scdn.co/mp3-preview/c487dcbbee96352b2dc3a51394aed94f68d43df1?cid=9950ac751e34487dbbe027c4fd7f8e99,46,2022-01-23 00:26:00,pikapi2323,,2022-01-23,00:26:00,2022-01-23
